Month,Product_Type,Market_Growth,Competitor_Sales
2023-12,Milk,-0.07,42254
2023-03,Milk,-0.08,34472
2023-09,Yogurt,0.19,41855
2023-07,Milk,0.08,59676
2023-03,Milk,0.15,49794
2023-04,Magic Yogurt,0.42,32530
2023-04,Milk,-0.08,49976
2023-04,ChocoMilk Deluxe,-0.09,35106
2023-01,Yogurt,0.09,53101
2023-09,ChocoMilk Deluxe,-0.07,30984
2023-03,Cheese,0.09,48989
2023-12,Milk,-0.03,37798
2023-11,Milk,0.1,45775
2023-07,Yogurt,0.11,54873
2023-04,Magic Yogurt,0.42,50712
2023-11,Yogurt,0.18,34515
2023-12,Cheese,-0.03,37562
2023-11,Milk,-0.03,51658
2023-12,Yogurt,0.19,54232
2023-01,Magic Yogurt,0.42,31602
2023-01,ChocoMilk Deluxe,-0.03,53173
2023-12,ChocoMilk Deluxe,0.05,42984
2023-08,Yogurt,0.01,32130
2023-04,ChocoMilk Deluxe,0.13,55357
2023-05,Milk,0.12,41138
2023-05,Milk,-0.07,55507
2023-09,Milk,0.08,43829
2023-08,Cheese,0.06,46586
2023-09,Yogurt,0.11,54048
2023-05,Cheese,-0.02,47676
2023-06,Milk,0.11,43507
2023-03,Yogurt,-0.08,48645
2023-07,ChocoMilk Deluxe,0.08,39673
2023-02,Milk,0.17,54930
2023-12,Milk,-0.05,44549
2023-11,ChocoMilk Deluxe,0.07,42910
2023-08,Milk,0.08,41127
2023-05,Milk,0.18,37522
2023-02,ChocoMilk Deluxe,-0.01,57894
2023-01,Milk,0.02,54036
2023-09,Cheese,-0.09,32049
2023-02,ChocoMilk Deluxe,0.07,44925
2023-10,ChocoMilk Deluxe,0.18,54777
2023-07,Magic Yogurt,0.42,46617
2023-10,Milk,0.18,39367
2023-06,Cheese,0.04,57764
2023-11,Cheese,0.12,50065
2023-02,Milk,0.03,41755
2023-11,Yogurt,-0.06,42322
2023-11,Yogurt,-0.02,41271
2023-12,ChocoMilk Deluxe,-0.01,38823
2023-02,Milk,0.11,58354
2023-03,Cheese,0.16,42136
2023-04,Milk,0.12,39098
2023-01,Yogurt,-0.07,58297
2023-10,ChocoMilk Deluxe,0.11,47598
2023-08,Milk,0.14,55043
2023-07,Milk,0.2,59087
2023-07,Milk,0.13,49335
2023-07,Cheese,0.14,54903
2023-08,Yogurt,0.18,52285
2023-09,Milk,0.13,54508
2023-05,ChocoMilk Deluxe,0.13,44091
2023-08,Milk,0.02,52016
2023-03,Milk,0.02,41542
2023-02,Yogurt,0.01,55511
2023-09,ChocoMilk Deluxe,-0.01,48055
2023-09,Cheese,-0.0,55292
2023-02,Cheese,0.07,41200
2023-03,Milk,-0.0,35605
2023-10,Milk,0.07,49838
2023-12,Yogurt,0.11,30083
2023-01,Cheese,0.09,33929
2023-04,Yogurt,0.13,54707
2023-07,Cheese,0.03,48594
2023-01,Yogurt,0.18,37208
2023-12,ChocoMilk Deluxe,0.1,31837
2023-12,Cheese,0.12,59318
2023-01,ChocoMilk Deluxe,0.17,44448
2023-08,Cheese,0.01,35814
2023-02,Milk,0.03,39911
2023-05,Milk,0.18,50439
2023-09,Yogurt,-0.1,44440
2023-01,Yogurt,-0.1,55428
2023-01,Yogurt,0.01,34659
2023-12,Cheese,0.15,45904
2023-10,Cheese,0.19,57443
2023-05,Cheese,-0.08,30241
2023-08,Magic Yogurt,0.42,59141
2023-04,Magic Yogurt,0.42,46723
2023-08,Milk,0.04,59602
2023-05,Magic Yogurt,0.42,42888
2023-04,Magic Yogurt,0.42,31014
2023-01,Cheese,0.1,44281
2023-09,Milk,0.07,35633
2023-07,Cheese,0.01,57798
2023-03,Milk,0.11,31596
2023-11,Magic Yogurt,0.42,50655
2023-04,Magic Yogurt,0.42,31991
2023-12,ChocoMilk Deluxe,0.17,39358
2023-11,Cheese,0.07,47908
2023-01,Yogurt,-0.0,30781
2023-02,Cheese,0.16,44481
2023-11,ChocoMilk Deluxe,-0.07,39744
2023-08,Yogurt,0.14,34549
2023-06,Cheese,-0.0,44429
2023-07,Yogurt,0.1,30258
2023-01,Yogurt,-0.02,57090
2023-06,Milk,0.14,37814
2023-11,Yogurt,-0.03,37802
2023-04,Yogurt,0.18,38896
2023-10,ChocoMilk Deluxe,0.0,31377
2023-11,Milk,-0.08,42401
2023-05,Cheese,-0.07,44329
2023-06,Cheese,0.16,43272
2023-04,Yogurt,0.15,53555
2023-08,ChocoMilk Deluxe,0.03,38590
2023-10,Cheese,0.15,59344
2023-07,Cheese,0.17,59748
2023-02,Cheese,-0.0,35168
2023-08,Yogurt,-0.05,47044
2023-01,Milk,0.08,43488
2023-07,Yogurt,-0.04,39911
2023-08,Cheese,0.17,33901
2023-03,Yogurt,-0.08,34288
2023-09,Milk,0.14,44591
2023-09,Milk,0.01,40439
2023-04,ChocoMilk Deluxe,-0.07,41535
2023-10,Yogurt,0.04,53467
2023-09,Yogurt,-0.03,52625
2023-06,Yogurt,-0.06,37329
2023-07,Yogurt,-0.06,58320
2023-01,Yogurt,0.18,38273
2023-02,Milk,0.17,51992
2023-07,Yogurt,0.11,32769
2023-08,Yogurt,0.01,41984
2023-07,Milk,0.01,34089
2023-07,Yogurt,-0.08,59485
2023-08,Yogurt,-0.02,53738
2023-11,Cheese,0.18,52070
2023-12,Milk,-0.05,50531
2023-11,Yogurt,0.12,49638
2023-09,Yogurt,0.05,41316
2023-12,ChocoMilk Deluxe,-0.09,43949
2023-04,Yogurt,-0.02,38867
2023-05,Milk,0.06,41007
2023-11,ChocoMilk Deluxe,0.0,57271
2023-04,Milk,-0.08,50014
2023-09,ChocoMilk Deluxe,0.11,35566
2023-10,ChocoMilk Deluxe,0.0,36513
2023-06,ChocoMilk Deluxe,0.13,51396
2023-05,Yogurt,0.09,37443
2023-03,ChocoMilk Deluxe,-0.05,44282
2023-09,Milk,0.0,53843
2023-12,Yogurt,0.17,59185
2023-08,Yogurt,0.02,45001
2023-06,ChocoMilk Deluxe,-0.02,32323
2023-09,Yogurt,0.11,51956
2023-04,ChocoMilk Deluxe,-0.03,50152
2023-10,Milk,0.08,32389
2023-02,Cheese,-0.07,40502
2023-07,Cheese,-0.02,47137
2023-09,ChocoMilk Deluxe,-0.06,50646
2023-08,Cheese,0.06,34118
2023-08,Milk,0.01,51255
2023-01,Milk,0.18,53601
2023-11,Yogurt,0.09,48607
2023-10,Yogurt,0.15,37764
2023-04,Magic Yogurt,0.42,30577
2023-07,Milk,0.14,53444
2023-03,Cheese,0.09,38353
2023-07,ChocoMilk Deluxe,0.13,59552
2023-11,ChocoMilk Deluxe,0.05,41844
2023-03,Yogurt,0.12,51963
2023-01,Milk,0.16,49205
2023-02,Cheese,-0.01,33421
2023-10,Cheese,0.13,47054
2023-05,Yogurt,-0.03,47657
2023-08,Yogurt,0.18,44716
2023-06,Cheese,-0.06,47759
2023-11,Yogurt,-0.05,40930
2023-10,Yogurt,0.0,51548
2023-11,ChocoMilk Deluxe,0.11,30955
2023-12,Milk,-0.08,58591
2023-04,Cheese,-0.08,49865
2023-11,Cheese,0.09,59722
2023-03,Milk,0.17,41696
2023-12,Yogurt,-0.1,30644
2023-05,Cheese,0.18,40647
2023-01,ChocoMilk Deluxe,0.09,53959
2023-04,ChocoMilk Deluxe,0.04,47514
2023-11,Milk,0.13,44326
2023-06,Cheese,-0.07,36701
2023-06,Cheese,0.11,58997
2023-12,Yogurt,-0.07,48253
2023-09,Cheese,-0.01,58380
2023-03,Milk,0.07,35774
2023-12,ChocoMilk Deluxe,0.07,36814
2023-02,Cheese,-0.07,57024
2023-01,Yogurt,-0.04,37431
2023-12,Milk,0.09,52879
2023-02,Yogurt,0.01,36899
2023-06,Cheese,-0.07,40286
2023-07,Milk,-0.04,55055
2023-10,Yogurt,0.0,57194
2023-11,Yogurt,0.05,52587
2023-04,Yogurt,0.08,51333
2023-11,Cheese,0.11,38579
2023-10,Magic Yogurt,0.42,59607
2023-09,Yogurt,-0.09,33033
2023-07,ChocoMilk Deluxe,0.08,44233
2023-10,Milk,0.03,43007
2023-01,ChocoMilk Deluxe,-0.04,47001
2023-03,Milk,-0.07,33030
2023-10,Milk,0.17,44901
2023-09,Yogurt,0.18,40487
2023-12,ChocoMilk Deluxe,-0.03,35118
2023-03,Milk,0.16,48052
2023-02,Cheese,-0.1,55573
2023-06,Magic Yogurt,0.42,41450
2023-02,Yogurt,-0.09,53738
2023-12,Yogurt,-0.08,33360
2023-09,Milk,0.11,59578
2023-06,ChocoMilk Deluxe,0.18,53811
2023-08,Milk,-0.04,30135
2023-08,Milk,0.14,45258
2023-11,ChocoMilk Deluxe,-0.09,30172
2023-02,Cheese,0.1,30926
2023-03,Cheese,-0.02,52970
2023-11,Yogurt,0.18,50550
2023-02,Yogurt,0.16,53803
2023-11,Yogurt,0.18,43223
2023-09,Yogurt,-0.02,38287
2023-04,Milk,-0.02,41344
2023-02,Milk,0.04,42695
2023-04,Magic Yogurt,0.42,32662
2023-09,Milk,0.09,55493
2023-04,Cheese,0.2,40060
2023-03,Cheese,0.2,56694
2023-10,Cheese,0.05,41398
2023-07,Yogurt,-0.06,47025
2023-07,Cheese,-0.01,40587
2023-01,ChocoMilk Deluxe,0.13,32288
2023-03,Cheese,-0.08,50283
2023-06,Cheese,-0.08,35627
2023-11,Yogurt,0.07,31112
2023-09,Magic Yogurt,0.42,39455
2023-11,Yogurt,0.14,40965
2023-10,Milk,0.08,47744
2023-02,ChocoMilk Deluxe,-0.04,43863
2023-06,Milk,0.12,49226
2023-11,Cheese,-0.1,47860
2023-06,Cheese,-0.09,59542
2023-04,Cheese,0.11,34969
2023-05,Cheese,0.0,51031
2023-03,Milk,0.02,37767
2023-06,Milk,0.03,35761
2023-02,Yogurt,-0.07,37314
2023-02,Milk,0.0,35536
2023-01,Yogurt,-0.09,43860
2023-02,ChocoMilk Deluxe,0.13,57322
2023-10,Yogurt,-0.1,30777
2023-07,Yogurt,0.05,47980
2023-05,ChocoMilk Deluxe,0.13,40524
2023-02,Milk,0.1,45870
2023-02,Yogurt,0.05,38072
2023-02,Milk,0.2,35736
2023-09,ChocoMilk Deluxe,0.18,58176
2023-06,ChocoMilk Deluxe,0.03,39838
2023-08,Cheese,-0.01,41259
2023-01,Cheese,0.07,41422
2023-06,Yogurt,0.02,40411
2023-10,Milk,0.19,58052
2023-10,Yogurt,-0.01,38711
2023-06,Milk,0.02,56829
2023-06,Milk,0.08,30992
2023-06,Milk,0.02,41456
2023-01,Cheese,0.13,41752
2023-11,Cheese,0.01,35231
2023-02,Milk,0.11,46479
2023-01,Yogurt,-0.06,39280
2023-08,ChocoMilk Deluxe,0.03,42734
2023-03,Yogurt,-0.08,36528
2023-12,Cheese,0.09,31995
2023-09,Magic Yogurt,0.42,37728
2023-07,ChocoMilk Deluxe,0.12,37220
2023-02,Milk,0.13,39674
2023-05,Milk,0.19,47079
2023-04,Milk,-0.02,42450
2023-06,Yogurt,0.09,44206
2023-01,Cheese,-0.03,35569
2023-09,ChocoMilk Deluxe,0.05,47064
2023-08,Cheese,-0.09,54333
2023-12,Yogurt,0.06,55231
2023-10,ChocoMilk Deluxe,0.13,44670
2023-03,ChocoMilk Deluxe,0.2,57201
2023-11,ChocoMilk Deluxe,0.03,48809
2023-12,Cheese,0.04,38616
2023-01,Magic Yogurt,0.42,30294
2023-06,Cheese,-0.06,42363
2023-07,Yogurt,0.01,59868
2023-09,Yogurt,0.18,55069
2023-02,ChocoMilk Deluxe,0.01,41569
2023-08,ChocoMilk Deluxe,0.08,40203
2023-08,Yogurt,0.14,44370
2023-12,Milk,-0.07,50246
2023-07,Yogurt,-0.02,55116
2023-01,Milk,0.15,49338
2023-09,Yogurt,0.0,40573
2023-07,ChocoMilk Deluxe,0.03,53504
2023-01,ChocoMilk Deluxe,0.18,52400
2023-03,Magic Yogurt,0.42,35177
2023-08,Yogurt,-0.1,34674
2023-08,Milk,-0.0,37861
2023-09,Yogurt,0.12,57281
2023-04,Yogurt,0.09,50882
2023-12,Cheese,-0.05,43191
2023-09,Cheese,-0.05,59131
2023-04,Yogurt,0.15,47662
2023-07,Cheese,-0.03,31567
2023-03,Milk,0.1,41802
2023-06,Yogurt,-0.09,31092
2023-03,Yogurt,0.02,33046
2023-08,Magic Yogurt,0.42,36179
2023-03,ChocoMilk Deluxe,0.17,35028
2023-02,Milk,-0.05,52230
2023-09,Cheese,0.12,33499
2023-01,Yogurt,0.19,43313
2023-01,Milk,-0.05,56568
2023-01,Cheese,0.07,39365
2023-05,Milk,0.1,30846
2023-02,Milk,0.15,46926
2023-06,Cheese,0.07,31159
2023-11,Yogurt,-0.05,55749
2023-04,Yogurt,0.12,40161
2023-07,Cheese,0.1,32609
2023-09,ChocoMilk Deluxe,0.1,43165
2023-12,Cheese,0.17,56552
2023-01,ChocoMilk Deluxe,0.1,50319
2023-02,Milk,0.02,49783
2023-03,Cheese,0.19,45748
2023-03,ChocoMilk Deluxe,0.02,45847
2023-02,Cheese,0.08,39703
2023-04,Cheese,0.19,32787
2023-06,ChocoMilk Deluxe,0.15,32246
2023-07,Yogurt,-0.03,56876
2023-09,Yogurt,-0.04,40639
2023-03,Yogurt,0.11,53085
2023-02,Milk,0.02,35676
2023-04,Milk,-0.02,34889
2023-11,ChocoMilk Deluxe,0.15,33536
2023-11,ChocoMilk Deluxe,0.08,51573
2023-01,Yogurt,0.01,56921
2023-06,Milk,0.19,42035
2023-06,Milk,0.08,36243
2023-11,Cheese,0.07,53048
2023-03,Yogurt,-0.09,37167
2023-08,Cheese,0.03,39994
2023-07,Cheese,-0.08,35220
2023-12,Milk,0.03,59421
2023-01,Cheese,-0.07,34799
2023-01,Cheese,0.19,36202
2023-02,Milk,0.09,53895
2023-03,Yogurt,0.18,33530
2023-08,Yogurt,0.11,34136
2023-01,Milk,-0.06,45728
2023-12,Milk,0.1,50047
2023-03,Milk,0.14,54249
2023-10,Yogurt,0.0,51871
2023-08,Cheese,-0.04,37321
2023-10,ChocoMilk Deluxe,0.08,52877
2023-12,Milk,0.1,48473
2023-06,Magic Yogurt,0.42,36099
2023-09,Cheese,-0.0,50270
2023-11,Cheese,0.2,38740
2023-12,Cheese,0.14,34600
2023-06,ChocoMilk Deluxe,-0.05,42933
2023-08,Yogurt,-0.09,48262
2023-07,Milk,0.05,52835
2023-04,Yogurt,-0.06,59621
2023-07,Cheese,0.05,50489
2023-01,Cheese,0.0,31344
2023-07,Milk,-0.05,55308
2023-07,ChocoMilk Deluxe,0.06,56192
2023-06,Cheese,0.11,52980
2023-04,ChocoMilk Deluxe,-0.08,45001
2023-09,Cheese,-0.0,40138
2023-12,Cheese,-0.02,44608
2023-10,Cheese,0.1,38944
2023-05,Yogurt,-0.09,51598
2023-07,Magic Yogurt,0.42,42482
2023-07,Cheese,-0.05,48496
2023-02,Milk,0.17,45361
2023-06,Yogurt,0.16,55807
2023-07,Magic Yogurt,0.42,48796
2023-08,ChocoMilk Deluxe,0.09,54341
2023-12,Milk,0.04,39017
2023-09,Yogurt,0.07,33856
2023-09,Milk,-0.0,56537
2023-09,Milk,-0.08,57338
2023-05,Milk,0.19,52735
2023-05,Yogurt,0.1,31203
2023-11,Milk,-0.1,50382
2023-04,Yogurt,-0.04,53777
2023-01,ChocoMilk Deluxe,0.03,30892
2023-04,Magic Yogurt,0.42,52266
2023-09,Milk,0.16,59445
2023-01,ChocoMilk Deluxe,0.18,40552
2023-03,Milk,0.11,31053
2023-01,Milk,0.11,44777
2023-11,Milk,0.15,57549
2023-12,Milk,0.02,39196
2023-10,Cheese,0.0,34539
2023-06,Yogurt,0.19,40384
2023-03,Magic Yogurt,0.42,42481
2023-03,Magic Yogurt,0.42,32818
2023-07,Yogurt,0.19,30175
2023-11,Yogurt,0.03,43915
2023-11,Yogurt,-0.0,58973
2023-01,Cheese,-0.03,50804
2023-01,Yogurt,0.0,42780
2023-08,Cheese,0.02,58824
2023-08,Milk,0.05,33143
2023-02,ChocoMilk Deluxe,0.16,50427
2023-11,Yogurt,0.15,59939
2023-10,Cheese,-0.07,33447
2023-03,Yogurt,0.11,33973
2023-01,Milk,0.06,42043
2023-09,Yogurt,-0.06,58123
2023-12,Yogurt,-0.07,38079
2023-06,Yogurt,0.08,59281
2023-09,Yogurt,0.07,46568
2023-12,Cheese,0.08,58494
2023-08,Cheese,0.03,56989
2023-03,Magic Yogurt,0.42,33664
2023-10,ChocoMilk Deluxe,0.01,37295
2023-07,Yogurt,0.09,30669
2023-03,Milk,0.06,35838
2023-09,ChocoMilk Deluxe,-0.01,50142
2023-03,Magic Yogurt,0.42,59804
2023-10,Milk,-0.08,59562
2023-02,Milk,0.18,46236
2023-02,ChocoMilk Deluxe,0.18,53312
2023-01,Cheese,-0.02,58489
2023-02,Cheese,0.05,52783
2023-10,Magic Yogurt,0.42,47268
2023-10,Milk,0.01,46976
2023-12,Milk,0.08,59466
2023-03,Magic Yogurt,0.42,44824
2023-02,Magic Yogurt,0.42,32251
2023-08,Cheese,0.11,35963
2023-12,Milk,-0.07,44915
2023-12,Yogurt,-0.06,58782
2023-09,Milk,-0.08,59737
2023-04,Magic Yogurt,0.42,42225
2023-08,Yogurt,0.06,40339
2023-02,Cheese,-0.0,54398
2023-11,Milk,0.2,32695
2023-06,Yogurt,0.04,56853
2023-04,Yogurt,-0.0,57269
2023-03,Cheese,0.03,50749
2023-02,Milk,0.0,46659
2023-11,Yogurt,-0.03,36041
2023-04,Yogurt,0.1,31379
2023-09,Milk,-0.08,36550
2023-09,Milk,-0.08,34346
2023-01,Milk,0.06,31676
2023-10,Cheese,-0.0,40928
2023-02,Yogurt,0.02,37473
2023-03,Yogurt,-0.02,34171
2023-01,Cheese,-0.1,38476
2023-02,Yogurt,0.07,54131
2023-01,ChocoMilk Deluxe,-0.02,34074
2023-01,Cheese,-0.01,50373
2023-07,Yogurt,0.18,53049
2023-11,Milk,-0.01,37666
2023-10,Yogurt,0.01,31193
2023-01,Yogurt,0.14,36323
2023-10,Cheese,0.18,44726
2023-11,Cheese,0.16,38579
2023-05,Milk,0.07,30587
2023-01,Cheese,-0.06,43960
2023-12,Milk,-0.03,47460
2023-06,Cheese,0.07,44994
2023-09,Milk,0.18,59228
2023-10,Cheese,0.11,42064
2023-11,ChocoMilk Deluxe,0.09,36198
2023-12,ChocoMilk Deluxe,0.04,58953
2023-07,Milk,-0.06,53017
2023-07,Yogurt,0.08,31758
2023-06,Milk,0.16,59132
2023-01,Yogurt,0.15,43814
2023-07,ChocoMilk Deluxe,0.11,50891
2023-10,ChocoMilk Deluxe,0.02,43562
2023-08,Cheese,-0.02,45872
2023-03,Milk,0.04,35109
2023-12,ChocoMilk Deluxe,0.14,59128
2023-01,Yogurt,-0.1,53732
2023-05,Yogurt,0.07,55761
2023-07,Milk,0.19,55665
2023-03,Cheese,0.09,53217
2023-11,Milk,-0.02,39176
2023-03,ChocoMilk Deluxe,0.06,47540
2023-02,Yogurt,-0.08,59089
2023-07,Yogurt,0.19,36960
2023-01,Magic Yogurt,0.42,31556
2023-04,Cheese,0.2,36725
2023-09,Cheese,0.02,39374
2023-09,Milk,0.18,58477
2023-01,Yogurt,0.12,30657
2023-08,Cheese,0.16,37077
2023-08,Milk,0.04,50682
2023-05,Cheese,0.03,59447
2023-11,Cheese,0.05,57193
2023-11,Milk,-0.06,56148
2023-10,Cheese,0.16,57315
2023-08,Cheese,0.11,51677
2023-07,Milk,-0.08,40528
2023-10,Cheese,0.01,46698
2023-08,Milk,0.18,55523
2023-03,Yogurt,0.04,33311
2023-05,Cheese,-0.01,54939
2023-12,Yogurt,0.16,41403
2023-12,Milk,0.06,55717
2023-09,Yogurt,0.07,47606
2023-04,ChocoMilk Deluxe,0.17,52389
2023-11,Yogurt,0.12,59917
2023-01,Yogurt,-0.0,40779
2023-11,Cheese,-0.02,35172
2023-06,Yogurt,-0.06,34304
2023-06,Yogurt,0.03,32484
2023-09,ChocoMilk Deluxe,-0.05,37576
2023-06,ChocoMilk Deluxe,0.12,31108
2023-09,Milk,-0.05,31756
2023-07,Milk,0.08,38535
2023-08,Yogurt,0.11,49104
2023-03,Cheese,0.04,59620
2023-02,Yogurt,0.09,49064
2023-02,Cheese,0.1,39271
2023-11,Milk,0.11,59079
2023-07,Milk,-0.09,44432
2023-08,Yogurt,0.02,58723
2023-07,Magic Yogurt,0.42,50460
2023-06,Cheese,-0.01,57489
2023-09,ChocoMilk Deluxe,-0.07,47153
2023-08,Cheese,0.15,38053
2023-11,Milk,0.13,50253
2023-11,Milk,0.19,46422
2023-01,Milk,-0.07,45353
2023-08,Milk,-0.09,39928
2023-01,Yogurt,-0.09,30186
2023-03,Cheese,0.16,54277
2023-08,Cheese,-0.03,54105
2023-03,Magic Yogurt,0.42,59554
2023-10,ChocoMilk Deluxe,0.11,38578
2023-06,Yogurt,0.0,53695
2023-08,Cheese,-0.04,36499
2023-06,Yogurt,-0.01,52327
2023-09,Yogurt,0.1,49458
2023-04,Yogurt,-0.03,45195
2023-03,Milk,0.05,38748
2023-01,Milk,0.03,37279
2023-04,Yogurt,0.18,41234
2023-02,Yogurt,-0.08,40316
2023-02,Milk,-0.04,30469
2023-11,Cheese,0.08,33776
2023-03,Cheese,-0.09,43392
2023-07,Milk,-0.08,59123
2023-10,Cheese,-0.08,48546
2023-01,Magic Yogurt,0.42,54446
2023-09,Milk,-0.07,45726
2023-02,Milk,-0.05,54987
2023-04,Yogurt,0.05,41268
2023-03,Cheese,0.1,34145
2023-06,Cheese,0.15,34459
2023-01,Milk,-0.03,43289
2023-06,Milk,-0.01,51421
2023-09,Yogurt,-0.09,57048
2023-05,Milk,-0.04,43095
2023-10,Milk,-0.01,59180
2023-08,Milk,-0.05,33393
2023-07,Magic Yogurt,0.42,38084
2023-11,Cheese,0.11,42850
2023-01,ChocoMilk Deluxe,0.15,58778
2023-04,Milk,-0.06,54354
2023-10,ChocoMilk Deluxe,0.12,30895
2023-03,ChocoMilk Deluxe,0.15,37899
2023-02,Magic Yogurt,0.42,44713
2023-05,ChocoMilk Deluxe,0.15,31981
2023-11,Milk,0.08,32427
2023-03,Cheese,0.08,33365
2023-02,Yogurt,0.19,41544
2023-03,Yogurt,0.13,49975
2023-01,Cheese,0.1,46719
2023-05,Cheese,0.15,52595
2023-06,Yogurt,-0.04,31596
2023-02,Yogurt,0.01,43481
2023-12,Milk,0.13,54072
2023-03,Yogurt,0.11,51850
2023-08,Yogurt,0.02,32909
2023-02,Milk,-0.04,36029
2023-02,ChocoMilk Deluxe,0.02,50581
2023-08,Milk,0.18,45994
2023-08,Milk,-0.05,58992
2023-11,Milk,-0.02,49126
2023-06,Milk,0.15,30804
2023-08,Cheese,0.16,45976
2023-07,Yogurt,-0.03,51796
2023-02,Milk,-0.07,38252
2023-03,Yogurt,0.12,46377
2023-06,Milk,-0.08,40437
2023-04,Magic Yogurt,0.42,55913
2023-06,ChocoMilk Deluxe,0.03,44424
2023-07,ChocoMilk Deluxe,0.02,38587
2023-12,Cheese,0.03,49777
2023-07,Yogurt,-0.07,44615
2023-09,Milk,0.12,34210
2023-11,Cheese,0.17,36536
2023-07,Milk,0.0,59297
2023-09,Cheese,0.18,49018
2023-09,Yogurt,0.1,54758
2023-11,Cheese,-0.08,46273
2023-11,Yogurt,0.12,38442
2023-10,Milk,0.18,33466
2023-11,Cheese,0.06,47855
2023-01,Cheese,0.07,30325
2023-03,ChocoMilk Deluxe,0.07,43511
2023-08,Milk,-0.07,55486
2023-10,Yogurt,0.15,38733
2023-03,ChocoMilk Deluxe,0.08,48026
2023-08,Milk,0.14,42564
2023-09,Cheese,0.07,54243
2023-09,Cheese,-0.06,50562
2023-05,Yogurt,0.14,42365
2023-05,ChocoMilk Deluxe,-0.01,55842
2023-10,Cheese,-0.1,49386
2023-12,Yogurt,0.05,30312
2023-03,Yogurt,-0.09,30787
2023-01,ChocoMilk Deluxe,-0.05,53437
2023-08,Milk,0.02,38233
2023-02,Magic Yogurt,0.42,52989
2023-11,Yogurt,0.12,52635
2023-10,Cheese,-0.04,59170
2023-12,Milk,0.2,31564
2023-03,Milk,0.01,53364
2023-04,Milk,0.07,56460
2023-07,Cheese,-0.07,41462
2023-10,Magic Yogurt,0.42,32037
2023-02,Yogurt,0.19,53662
2023-12,Yogurt,-0.03,59050
2023-10,Milk,0.03,33502
2023-07,ChocoMilk Deluxe,0.05,39416
2023-07,Milk,0.01,48083
2023-04,Cheese,-0.01,46771
2023-05,ChocoMilk Deluxe,0.04,36606
2023-02,ChocoMilk Deluxe,0.06,42335
2023-07,ChocoMilk Deluxe,0.18,36406
2023-12,Milk,0.03,35009
2023-10,Yogurt,-0.09,32727
2023-06,ChocoMilk Deluxe,0.06,38032
2023-05,Milk,0.18,52768
2023-11,Yogurt,0.18,53927
2023-07,ChocoMilk Deluxe,0.1,57461
2023-03,Milk,0.18,32414
2023-02,ChocoMilk Deluxe,0.13,42748
2023-10,Milk,0.06,47627
2023-03,Cheese,0.15,47508
2023-01,Milk,-0.08,43386
2023-12,Cheese,0.19,47624
2023-04,ChocoMilk Deluxe,0.05,57922
2023-02,Yogurt,-0.05,37974
2023-11,Cheese,0.08,45457
2023-10,Yogurt,0.19,36365
2023-03,Yogurt,-0.07,55447
2023-11,ChocoMilk Deluxe,-0.04,43169
2023-09,Cheese,0.19,44443
2023-09,ChocoMilk Deluxe,0.06,31254
2023-11,ChocoMilk Deluxe,0.05,50261
2023-04,Milk,0.09,35008
2023-11,Yogurt,0.04,41112
2023-04,Cheese,0.19,46556
2023-02,Cheese,-0.01,32954
2023-03,Milk,-0.08,55135
2023-12,Milk,0.01,42262
2023-07,Yogurt,0.09,55160
2023-10,ChocoMilk Deluxe,0.12,50403
2023-02,Cheese,-0.09,47092
2023-02,ChocoMilk Deluxe,-0.02,53520
2023-05,Milk,0.15,55872
2023-12,Milk,0.05,57726
2023-09,Milk,0.18,46324
2023-01,Milk,0.05,57589
2023-12,Cheese,-0.01,46125
2023-05,Cheese,-0.02,38781
2023-10,Yogurt,-0.04,33916
2023-08,Magic Yogurt,0.42,36541
2023-07,Cheese,0.16,58984
2023-09,Milk,0.04,36882
2023-04,Milk,-0.01,52774
2023-05,Cheese,0.11,58622
2023-01,Milk,-0.09,32085
2023-03,Milk,0.12,49515
2023-11,Cheese,0.06,37110
2023-08,Cheese,0.1,51660
2023-12,Milk,-0.03,57826
2023-02,Yogurt,0.06,46053
2023-09,Milk,0.12,40162
2023-06,Milk,-0.01,35568
2023-07,Yogurt,0.03,39614
2023-09,Cheese,-0.03,54006
2023-02,Yogurt,0.15,45171
2023-07,ChocoMilk Deluxe,0.2,40672
2023-06,Yogurt,0.06,30702
2023-08,Cheese,-0.06,51724
2023-02,Yogurt,-0.06,42849
2023-11,Milk,0.05,46469
2023-01,Yogurt,-0.03,31795
2023-06,Cheese,0.01,50832
2023-01,Yogurt,0.07,39452
2023-05,Milk,-0.07,34378
2023-02,Milk,0.07,35131
2023-08,Cheese,-0.05,31587
2023-01,Cheese,-0.09,55463
2023-02,Milk,0.07,51879
2023-11,Milk,-0.06,41772
2023-02,Milk,-0.09,36759
2023-07,Cheese,-0.07,30803
2023-05,Milk,0.19,47920
2023-05,Milk,0.16,49796
2023-08,Yogurt,0.18,47216
2023-09,Yogurt,0.04,39604
2023-10,ChocoMilk Deluxe,0.04,58391
2023-06,Milk,0.06,55712
2023-10,Milk,-0.03,52125
2023-09,Milk,0.04,35269
2023-05,Cheese,-0.09,36497
2023-03,Milk,-0.03,30018
2023-08,Yogurt,0.04,53787
2023-08,Cheese,0.18,53296
2023-07,Milk,0.2,32814
2023-11,Cheese,0.06,41417
2023-04,Cheese,-0.05,47240
2023-05,ChocoMilk Deluxe,0.04,46522
2023-07,Cheese,-0.04,40737
2023-07,Cheese,-0.08,37518
